Network: Ekiti road adjacency, 16 towns, eps=0.3, rho=0.15, 10yr horizon (fine scan)
  n_steps=10950, dt=0.01667, burn_in_steps=521
Deriving data-driven threshold grid from a diagnostic off run ...
  iota_hat thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.19124 0.27788 0.29136 0.30078 0.3104  0.3211  0.34474]
  phi thresholds (p[1, 20, 40, 55, 70, 85, 99]): [0.20911 0.2877  0.29635 0.30647 0.31725 0.32507 0.3305 ]

Sweeping trigger grid, driver=iota_hat ...
    driver=phi T=0.2877 S=0.30 effort=0.0386 active_frac=0.1285 symp_trig=11779700 cases_averted=1148793 cases_averted_const=1087900 rate_trig=0.02732 rate_const=0.00332 episodes=330.4  (87.0s)
    driver=phi T=0.2877 S=0.20 effort=0.0348 active_frac=0.1740 symp_trig=11910951 cases_averted=1017542 cases_averted_const=977972 rate_trig=0.01787 rate_const=0.00299 episodes=483.6  (86.9s)
    driver=phi T=0.2877 S=0.15 effort=0.0332 active_frac=0.2213 symp_trig=11963812 cases_averted=964681 cases_averted_const=931660 rate_trig=0.01332 rate_const=0.00285 episodes=496.5  (87.1s)
    driver=phi T=0.2877 S=0.10 effort=0.0319 active_frac=0.3191 symp_trig=12010968 cases_averted=917525 cases_averted_const=894424 rate_trig=0.00879 rate_const=0.00273 episodes=286.1  (87.1s)
    driver=phi T=0.29635 S=0.50 effort=0.0316 active_frac=0.0633 symp_trig=11967407 cases_averted=961086 cases_averted_const=886364 rate_trig=0.04642 rate_const=0.00271 episodes=268.7  (87.1s)
    driver=phi T=0.29635 S=0.30 effort=0.0348 active_frac=0.1161 symp_trig=11910767 cases_averted=1017726 cases_averted_const=979117 rate_trig=0.02678 rate_const=0.00299 episodes=351.4  (87.0s)
    driver=phi T=0.29635 S=0.20 effort=0.0287 active_frac=0.1435 symp_trig=12096488 cases_averted=832005 cases_averted_const=802358 rate_trig=0.01771 rate_const=0.00245 episodes=332.7  (86.6s)
    driver=phi T=0.29635 S=0.15 effort=0.0268 active_frac=0.1787 symp_trig=12158076 cases_averted=770417 cases_averted_const=747725 rate_trig=0.01318 rate_const=0.00228 episodes=368.0  (86.8s)
    driver=phi T=0.29635 S=0.10 effort=0.0245 active_frac=0.2448 symp_trig=12230155 cases_averted=698338 cases_averted_const=681198 rate_trig=0.00872 rate_const=0.00208 episodes=425.9  (86.7s)
    driver=phi T=0.30647 S=0.50 effort=0.0265 active_frac=0.0531 symp_trig=12122859 cases_averted=805634 cases_averted_const=739540 rate_trig=0.04638 rate_const=0.00226 episodes=162.7  (86.8s)
